Date,FIPS,MMWR_week,Recip_County,Recip_State,Completeness_pct,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_5Plus,Administered_Dose1_Recip_5PlusPop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_5Plus,Series_Complete_5PlusPop_Pct,Series_Complete_5to17,Series_Complete_5to17Pop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Booster_Doses,Booster_Doses_Vax_Pct,Booster_Doses_5Plus,Booster_Doses_5Plus_Vax_Pct,Booster_Doses_12Plus,Booster_Doses_12Plus_Vax_Pct,Booster_Doses_18Plus,Booster_Doses_18Plus_Vax_Pct,Booster_Doses_50Plus,Booster_Doses_50Plus_Vax_Pct,Booster_Doses_65Plus,Booster_Doses_65Plus_Vax_Pct,Second_Booster_50Plus,Second_Booster_50Plus_Vax_Pct,Second_Booster_65Plus,Second_Booster_65Plus_Vax_Pct,SVI_CTGY,Series_Complete_Pop_Pct_SVI,Series_Complete_5PlusPop_Pct_SVI,Series_Complete_5to17Pop_Pct_SVI,Series_Complete_12PlusPop_Pct_SVI,Series_Complete_18PlusPop_Pct_SVI,Series_Complete_65PlusPop_Pct_SVI,Metro_status,Series_Complete_Pop_Pct_UR_Equity,Series_Complete_5PlusPop_Pct_UR_Equity,Series_Complete_5to17Pop_Pct_UR_Equity,Series_Complete_12PlusPop_Pct_UR_Equity,Series_Complete_18PlusPop_Pct_UR_Equity,Series_Complete_65PlusPop_Pct_UR_Equity,Booster_Doses_Vax_Pct_SVI,Booster_Doses_12PlusVax_Pct_SVI,Booster_Doses_18PlusVax_Pct_SVI,Booster_Doses_65PlusVax_Pct_SVI,Booster_Doses_Vax_Pct_UR_Equity,Booster_Doses_12PlusVax_Pct_UR_Equity,Booster_Doses_18PlusVax_Pct_UR_Equity,Booster_Doses_65PlusVax_Pct_UR_Equity,Census2019,Census2019_5PlusPop,Census2019_5to17Pop,Census2019_12PlusPop,Census2019_18PlusPop,Census2019_65PlusPop,Bivalent_Booster_5Plus,Bivalent_Booster_5Plus_Pop_Pct,Bivalent_Booster_12Plus,Bivalent_Booster_12Plus_Pop_Pct,Bivalent_Booster_18Plus,Bivalent_Booster_18Plus_Pop_Pct,Bivalent_Booster_65Plus,Bivalent_Booster_65Plus_Pop_Pct
02/08/2023,04003,6,Cochise County,AZ,98.1,109028,86.6,108512,91.4,101994,94.4,91708,92.7,28052,95,89877,71.4,89706,75.5,12210,61.6,84791,78.4,77496,78.3,24596,84.5,43039,47.9,43038,48,41948,49.5,39893,51.5,27976,65.3,17685,71.9,14894,53.2,10568,59.8,D,16,15,16,15,15,15,Metro,3,3,4,3,3,4,15,15,16,15,3,3,4,3,125922,118765,19816,108094,98949,29118,18175,15.3,17918,16.6,17436,17.6,10006,34.4
02/08/2023,04005,6,Coconino County,AZ,98.1,137133,95,136067,95,129746,95,118474,95,26162,95,118911,82.9,118390,87.1,14995,70.9,113269,90.9,103395,90.1,23446,95,63928,53.8,63928,54,62597,55.3,58866,56.9,33720,69.8,17799,75.9,19131,56.7,11439,64.3,D,16,16,16,16,16,16,Metro,4,4,4,4,4,4,16,16,16,15,4,4,4,3,143476,135887,21161,124554,114726,18662,27876,20.5,26960,21.6,25667,22.4,10428,55.9
02/08/2023,04027,6,Yuma County,AZ,98.1,239462,95,236390,95,221545,95,200368,95,42617,95,163590,76.5,162945,82,25480,66.3,152845,85.9,137465,85.8,33779,81.8,74129,45.3,74123,45.5,71637,46.9,67152,48.9,41724,62.7,22930,67.9,18458,44.2,11771,51.3,D,16,16,16,15,16,16,Metro,3,4,4,4,4,4,15,15,15,15,3,3,3,3,213787,198675,38457,177868,160218,41302,27555,13.9,26640,15,25386,15.8,10138,24.5
02/08/2023,04021,6,Pinal County,AZ,98.1,304748,65.9,303627,69.4,292499,73.8,271529,75.3,86998,90.1,268340,58,267828,61.2,27232,35.4,258326,65.2,240596,66.8,76913,79.6,120343,44.8,120336,44.9,118900,46,114884,47.7,81928,60.1,50397,65.5,40445,49.4,28591,56.7,D,15,14,14,14,15,15,Metro,2,2,2,3,3,3,15,15,15,15,3,3,3,3,462789,437450,77025,396110,360425,96566,48887,11.2,48254,12.2,46933,13,27878,28.9
02/08/2023,04007,6,Gila County,AZ,98.1,38471,71.2,38384,75,36967,78.9,34819,80.3,13649,86,33815,62.6,33792,66,2958,37.8,32722,69.8,30834,71.1,12291,77.5,18193,53.8,18192,53.8,18028,55.1,17372,56.3,12911,63.5,8577,69.8,6046,46.8,4513,52.6,D,15,15,14,14,15,15,Non-metro,6,7,6,7,7,7,16,16,16,15,8,8,8,7,54018,51197,7833,46872,43364,15869,6780,13.2,6712,14.3,6583,15.2,4244,26.7
02/08/2023,04015,6,Mohave County,AZ,98.1,112400,53,112314,55.3,111016,58.6,107639,60.9,52178,79.2,94998,44.8,94961,46.8,3812,14.5,93935,49.6,91149,51.5,45039,68.3,43784,46.1,43784,46.1,43678,46.5,43131,47.3,37384,53.9,26819,59.5,16673,44.6,13114,48.9,D,15,13,13,13,13,14,Metro,1,1,1,1,2,3,15,15,15,14,3,3,3,2,212181,203031,26209,189385,176822,65910,18848,9.3,18787,9.9,18668,10.6,13515,20.5
02/01/2023,04005,5,Coconino County,AZ,98.1,137076,95,136021,95,129703,95,118433,95,26160,95,118882,82.9,118369,87.1,14989,70.8,113249,90.9,103380,90.1,23445,95,63881,53.7,63881,54,62557,55.2,58831,56.9,33707,69.8,17795,75.9,19080,56.6,11409,64.1,D,16,16,16,16,16,16,Metro,4,4,4,4,4,4,16,16,16,15,4,4,4,3,143476,135887,21161,124554,114726,18662,27640,20.3,26735,21.5,25462,22.2,10364,55.5
02/01/2023,04009,5,Graham County,AZ,98.1,29408,75.7,29353,81.3,27800,87,25380,89.1,5886,95,26337,67.8,26321,72.9,3325,43.6,25152,78.8,22996,80.7,5588,95,12482,47.4,12482,47.4,12365,49.2,11785,51.2,6948,62,3835,68.6,2857,41.1,1862,48.6,D,15,15,15,15,16,16,Non-metro,7,7,7,7,8,8,15,15,16,15,7,7,8,7,38837,36119,7634,31936,28485,5440,3371,9.3,3341,10.5,3264,11.5,1520,27.9
02/01/2023,04025,5,Yavapai County,AZ,98.1,140236,59.6,140000,62.1,138054,65.4,133650,67.6,65918,86.2,121796,51.8,121698,54,5489,19.6,120040,56.9,116209,58.8,58706,76.8,64343,52.8,64343,52.9,64054,53.4,63149,54.3,54041,61.5,39244,66.8,29396,54.4,23362,59.5,C,10,10,9,10,10,11,Metro,2,2,1,2,2,3,12,12,12,11,4,4,4,3,235099,225558,27934,211088,197624,76438,32780,14.5,32608,15.4,32276,16.3,23373,30.6
02/01/2023,04017,5,Navajo County,AZ,98.1,113006,95,111636,95,102898,95,89949,95,24276,95,94525,85.2,94251,91.1,18262,84.3,87414,95,75989,92.9,21623,95,51684,54.7,51679,54.8,50109,57.3,45000,59.2,28424,67.9,15886,73.5,15264,53.7,9377,59,D,16,16,16,16,16,16,Non-metro,8,8,8,8,8,8,16,16,16,15,8,8,8,7,110924,103477,21673,91873,81804,20829,25942,25.1,25057,27.3,22898,28,8705,41.8
